id,num_backspaces,duration_backspaces,num_cut/copy/paste,discarded_text,D/I Ratio,Proportion_of_Deletions,no_distant_revision,no_immediate_revision,major_edits_count,multi_word_deletion_time,major_edits_freq,num_chars,mean_word_length,num_keystrokes,num_bursts,mean_burst_len,mean_burst_duration,std_burst_len,std_burst_duration,rate_of_keystrokes,nonproduction_time_per_essay,cursor_move_count,cursor_move_distance,cursor_move_mean_dist,cursor_move_count_new,y_difference_per_essay,num_insertions_per_essay,proportion_of_insertions,sum_IKI,mean_IKI,SD_IKI,Total_Pause_Time,Longest_Pause_Time,Mean_Pause_Time,Variance_of_total_pause_time,Num_Long_Pauses,Percentage_of_Longest_Pauses,Total_Pause_Time_Before_Word,Mean_Pause_Time_Before_Word,SD_Pause_Time_Before_Word,Total_Pause_Time_within_word,Mean_Pause_Time_within_word,SD_Pause_Time_within_word,Total_Pause_Time_Before_Sentences,Mean_Pause_Time_Before_Sentences,SD_Pause_Time_Before_Sentences,Total_Pause_Time_in_sentences,Mean_Pause_Time_in_sentences,SD_Pause_Time_in_sentences,score
00e713bd,530.0,44365.0,530,552,0.1398884946781551,0.1282197202858928,4493,72.0,119,36900,0.0260679079956188,2758.0,4.804878048780488,4478,69,64.89855072463769,12252.231884057972,60.9334605575276,11245.319327123105,0.0026098972563776,3440,4492,8548,1.9029385574354407,0.0,0,573,0.0014794388976243,1748235.0,382.9649507119387,6131.885246643158,1362622.0,398513.0,298.4933187294633,37590974.41258682,24,0.0093859992178333,587291,885.8084464555053,4108.730764571414,582568,878.684766214178,2490.807667308512,35460,1970.0,4803.54234485588,880893,48938.5,40809.83561269629,4.5
00f0737e,232.0,31703.0,237,243,0.1365168539325842,0.076686148524975,2157,259.0,38,26947,0.015728476821192,1241.0,4.944223107569721,2018,66,30.57575757575757,11138.80303030303,31.884435849129424,11512.030936532572,0.001317479948784,15908,2156,4907,2.2759740259740258,0.0,0,201,0.000573618677709,1780665.0,737.0302152317881,13919.339958126397,1536414.0,682914.0,635.9329470198676,194933125.59218943,16,0.0062573328118889,2094487,7374.954225352113,106711.92224119043,1275676,4491.816901408451,41084.74181160293,17097,814.1428571428571,1837.4756130548856,1402937,66806.52380952382,150577.90466254306,2.5
00f8e84c,62.0,4049.0,62,62,0.0194846008799497,0.020213612237712,3266,455.0,10,2653,0.0026874496103198,2484.0,4.335078534031414,3244,114,28.45614035087719,8640.482456140351,41.23280340950244,12204.58061130818,0.0020975622955144,2438,3265,5464,1.673506891271057,0.0,0,326,0.0010502543484073,1769235.0,475.4729911314163,1773.2255270460184,1468226.0,63969.0,394.5783391561408,3133401.545541441,40,0.0156433320297223,631417,1084.908934707904,2038.3863388174384,1173965,2017.121993127148,5843.352076600909,1907125,76285.0,353163.28446579305,1326315,53052.6,49383.18601423633,4.5
00fc9a6a,535.0,50918.0,536,697,0.3893543617545589,0.2616881869314907,2634,67.0,103,35851,0.0381340244353943,1129.0,4.627049180327869,2565,103,24.902912621359224,5240.0097087378645,31.001111480108165,6407.595576230779,0.0017032144152097,74813,2633,13103,4.976452715533612,0.0,0,859,0.004137446054254,1582508.0,585.8970751573491,3114.4042005201195,1381310.0,100476.0,511.4068863383932,9820796.297715522,45,0.0175987485334376,478693,1450.5848484848484,5059.878914626271,1049730,3181.0,12516.342160391265,130709,4668.178571428572,9083.818503061411,952811,34028.96428571428,34514.04301363179,3.5
0144e4d5,108.0,8665.0,108,108,0.0639053254437869,0.058636060091103,2021,96.0,6,3401,0.0028341993386868,1062.0,4.538461538461538,1798,134,13.417910447761194,5882.5970149253735,15.85948567345444,7386.111160616492,0.0011560876726213,26786,2020,6839,3.385643564356436,0.0,0,218,0.0008165252729554,1747721.0,825.5649504015116,2556.2443827217035,1647249.0,83058.0,778.1053377420878,9705270.122641629,42,0.0164254986312084,535737,1106.8946280991736,2485.7975338696897,1202109,2483.6962809917354,8030.178833631937,128657,3477.2162162162163,5087.328889479206,1251286,33818.54054054054,42508.84648164074,2.5
014e7ae9,528.0,35317.0,530,746,0.246275463666768,0.1666125004628125,3875,44.0,130,27107,0.0331717274815003,2097.0,4.6703786191536745,3829,94,40.734042553191486,6292.744680851064,42.248414243172334,6773.61938309309,0.0021370131328972,24274,3874,18054,4.660299432111513,0.0,0,1388,0.0054182557744631,1814983.0,463.1240112273539,4900.685989884203,1596464.0,283846.0,407.365144169431,24046920.43963216,58,0.0226828314430973,940908,1656.5281690140846,12475.906985118125,676497,1191.0158450704223,4111.572836975167,50438,1801.357142857143,5142.413435518282,1200056,42859.142857142855,79472.12978411539,5.0
015aa732,258.0,22358.0,258,616,0.2162921348314606,0.2013091631617303,3130,41.0,58,17526,0.0182907600126143,1777.0,4.464824120603015,3112,85,36.61176470588235,6371.235294117647,47.92133785537232,8065.16457135409,0.0018073113180662,14424,3129,6244,1.9955257270693512,0.0,0,572,0.0021790476190476,1740171.0,548.7767265846736,8726.53698598699,1506361.0,480616.0,475.0428886786503,76175983.59563634,46,0.0179898318341806,527372,1042.2371541501975,2688.590499241501,1088878,2151.9328063241105,22566.34884287768,19631,853.5217391304348,1529.204810278419,830445,36106.30434782609,41027.41590851702,5.0
0178a105,877.0,83724.0,879,997,0.4361702127659574,0.2277237663716511,3379,67.0,205,64119,0.0594892629135229,1206.0,4.4338235294117645,3326,122,27.262295081967213,7111.581967213115,36.00110266417092,9266.876206438568,0.0019336509698275,25429,3378,8183,2.422439313203079,0.0,0,1017,0.0022769149481593,1753517.0,508.8557748113755,1557.6809493621693,1363950.0,29779.0,395.8067324434127,2604356.814886448,52,0.020336331638639,472548,1093.861111111111,2862.700366457741,1065329,2466.039351851852,6085.205184706524,94781,3159.366666666667,6561.321189933568,1180133,39337.76666666667,37300.10078074888,3.0
0182aa1c,366.0,36923.0,364,411,0.1533010070869078,0.1369301656155361,3081,45.0,84,27785,0.0268714011516314,1810.0,4.458128078817734,3046,106,28.73584905660377,7408.66037735849,31.25053961798251,8469.072924905504,0.0017781731801882,5443,3080,14207,4.6126623376623375,0.0,0,743,0.0023114230339682,1726022.0,552.150351887396,4006.995232114342,1468419.0,206141.0,469.74376199616125,16365589.130161071,51,0.0199452483378959,567740,1163.4016393442623,2025.5630310568465,1059339,2170.776639344262,13076.798902375524,88601,4663.210526315789,8576.59563112795,1277872,67256.42105263157,70739.56959417,4.0
0190ff4c,118.0,9667.0,118,118,0.0671217292377702,0.0624067864735934,1894,28.0,21,7453,0.0109261186264308,1302.0,4.354515050167224,1876,107,17.53271028037383,5934.214953271028,18.34127099822597,6471.219786781385,0.0011569629061559,3226,1893,5579,2.947173798203909,0.0,0,101,0.0004432546300359,1620083.0,842.9151925078044,3241.9014787475344,1474382.0,69933.0,767.108220603538,11350717.929979252,53,0.020727414939382,699179,2131.643292682927,4396.839093718642,922524,2812.573170731708,7957.457595426374,240256,14132.70588235294,21080.17736454293,1190912,70053.64705882352,34910.37649278001,4.0
01963e20,978.0,63333.0,1075,1225,0.3211009174311927,0.2588472948872904,4864,152.0,229,46369,0.0456539074960127,2130.0,5.157384987893463,4896,61,80.26229508196721,12417.426229508195,109.99104533844928,17047.410416696737,0.0027914710985907,17663,4863,10348,2.12790458564672,0.0,0,1585,0.0054809205180075,1795125.0,357.8797846889952,9253.159690081648,1509396.0,647823.0,300.9162679425837,85593157.77843136,8,0.0031286664059444,356677,567.0540540540541,1565.0041971134676,1178277,1873.254372019078,26324.716208730984,466,15.03225806451613,8.068390467198697,1293430,41723.54838709677,118014.95254185342,4.5
019737b6,418.0,32413.0,418,520,0.1269841269841269,0.1082900173264027,4602,924.0,92,25404,0.0166485703944987,2880.0,4.556962025316456,4515,32,141.09375,21383.0625,123.95013549290567,18777.23405537038,0.0030816262911908,15823,4601,34658,7.532710280373831,0.0,0,865,0.0023097771665843,1792142.0,324.3108939558451,3328.359508293783,1419635.0,170818.0,256.9010133912414,11053545.138616158,32,0.0125146656237778,228720,321.6877637130802,1347.7817127655285,1096401,1542.054852320675,12898.21138079802,329188,10287.125,31929.54595794693,590771,18461.59375,24774.001274566403,3.5
01992d32,312.0,22581.0,312,438,0.1298162418494368,0.0862043515484309,3718,38.0,81,16661,0.0215654952076677,2342.0,4.361266294227188,3692,88,41.95454545454545,7870.863636363636,39.61884756715715,7388.801668480063,0.0020866376855877,18807,3717,9406,2.5305353779930053,0.0,0,965,0.0021589767568813,1730763.0,460.7995207667732,2945.802171039759,1422190.0,131537.0,378.6448349307775,9874696.853850806,50,0.0195541650371529,671358,1077.621187800963,3242.0492228037465,782414,1255.8812199036918,10455.223926921622,1965,65.5,38.739403445462926,1178699,39289.96666666667,59046.5610230945,4.0
01c359fc,251.0,21916.0,251,251,0.0992879746835443,0.0676615520643512,2891,43.0,36,14125,0.0122699386503067,1782.0,4.144186046511628,2779,91,30.53846153846154,7682.076923076923,44.76861690770733,11007.376570313372,0.0016396649137415,14265,2890,19256,6.662975778546713,0.0,0,203,0.0006411410415541,1746289.0,595.190524880709,3218.7092118241785,1515752.0,132741.0,516.6162235855487,10964394.977111422,53,0.020727414939382,1118736,2283.134693877551,9648.443368276416,725367,1480.3408163265306,5129.298421688839,81058,1801.2888888888888,4242.761014750045,1274959,28332.422222222223,39387.31403146362,3.5
01d0ba4b,113.0,4464.0,113,113,0.0743421052631578,0.3132536800377013,1634,5.0,15,2911,0.0091519219035997,1154.0,5.039301310043668,1633,40,40.825,11948.45,32.1286576287532,10040.885533912247,0.0012259072573859,882,1633,1633,1.0,0.0,0,72,0.0007349788693575,1275073.0,777.9579011592434,8111.37112169125,1300896.0,275952.0,793.7132397803539,68046871.48914687,17,0.0066484161126319,1985081,7972.212851405622,84567.50030567701,752917,3023.7630522088352,19701.24550007216,100269,4359.521739130435,14368.46781187436,1138738,49510.34782608696,70345.20748268932,1.5
01d602a7,362.0,28136.0,358,358,0.1139401654996817,0.0689064469872677,3512,61.0,73,22248,0.0204310103554436,2229.0,4.577002053388091,3500,89,39.325842696629216,9879.91011235955,42.64994279035352,10247.644635853523,0.0018842780124848,1649,3511,3654,1.0407291369980065,0.0,0,296,0.0007289257948615,1886643.0,528.0277078085643,6730.046847829538,1499610.0,378435.0,419.70612930310665,45280093.30891256,30,0.0117324990222917,920695,1686.2545787545787,16759.80118883879,1036825,1898.9468864468863,17207.754556906944,1868533,84933.31818181818,397536.2782336304,1363847,61993.045454545456,92162.6959817088,4.5
0249a095,389.0,34158.0,389,405,0.1274386406544997,0.0815806913611083,5211,183.0,69,25902,0.0127919911012235,2199.0,4.398,3568,89,40.08988764044944,6528.921348314607,46.28190311200535,7385.948454551322,0.002995352039938,61046,5210,19307,3.705758157389635,0.0,0,344,0.0010715442697301,1769359.0,328.02354467927324,4139.376068157856,1511187.0,241989.0,280.1607341490545,17264081.53229065,38,0.0148611654282362,755413,1276.035472972973,5772.917102182752,561396,948.304054054054,7174.377017032323,50224,3139.0,5703.543471679104,585555,36597.1875,15548.197178317278,5.0
0262bf61,658.0,47163.0,659,668,0.2034104750304506,0.1909558943339269,3982,460.0,105,36225,0.0236380009004952,2092.0,4.680089485458613,3943,69,57.14492753623188,13581.579710144928,63.52240812647021,14891.908294741612,0.0024716926643255,10662,3981,16628,4.176839989952273,0.0,0,538,0.0015743653522569,1791299.0,403.2640702386312,3503.755343570473,1461124.0,206206.0,328.9338135974786,12257946.620252475,32,0.0125146656237778,545699,1019.9981308411216,2315.0903250371503,988657,1847.9570093457944,11871.91907283448,3833,174.22727272727272,49.2437395761724,1108238,50374.454545454544,52635.71564987054,4.5
026be946,137.0,11227.0,137,140,0.0349563046192259,0.0355568197980372,4244,94.0,22,8461,0.0050714615029967,3077.0,4.321629213483146,4143,67,61.83582089552239,16273.955223880595,62.47462442801862,16731.67955436889,0.0024210858832498,26143,4243,24682,5.817110534998822,0.0,0,295,0.0007786106418918,1788661.0,412.3238819732596,2353.9539297775805,1415924.0,126688.0,326.40018441678194,5511500.223490865,28,0.0109503324208056,671091,909.3373983739838,2606.0951780814235,924182,1252.2791327913278,6557.014722304594,170816,5693.866666666667,23175.0437945252,1194018,39800.6,36273.99128339183,5.0
0294b4f5,219.0,12726.0,219,219,0.1362787803360298,0.1924124479432075,1845,42.0,41,9835,0.021727609962904,1160.0,5.658536585365853,1826,127,14.377952755905511,6973.118110236221,15.62401952929266,7480.754553672272,0.0010630548715461,3873,1844,4914,2.6648590021691976,0.0,0,184,0.0008784241833996,1679165.0,889.8595654478007,3194.9524115186696,1661387.0,100014.0,880.438261791203,14979925.6015682,32,0.0125146656237778,483493,2014.5541666666663,2622.5318422723944,1124306,4684.608333333334,10125.44334876924,202044,10633.894736842103,22469.595451767305,1310912,68995.36842105263,31352.724143933872,2.5
02a41d1a,305.0,28486.0,414,519,0.2483253588516746,0.1266864059872142,2441,187.0,111,30713,0.0422374429223744,1246.0,4.886274509803922,2507,88,28.488636363636363,7424.943181818182,34.26200412782,8748.305749086117,0.0014136868339385,39396,2440,7341,3.0086065573770493,0.0,0,489,0.0011335030110846,1767681.0,672.6335616438356,3958.4723049437193,1518646.0,127057.0,577.8713850837139,18306704.85060074,48,0.0187719984356667,2387819,6541.969863013699,95218.93883361173,956524,2620.613698630137,10621.998244951175,34773,2045.470588235294,7158.6533834727525,1205148,70891.05882352941,55928.64900977694,3.0
02cf6a52,170.0,16886.0,183,188,0.1031833150384193,0.0705554742416224,2006,44.0,34,14666,0.0165853658536585,1316.0,4.666666666666667,2007,66,30.40909090909091,6629.348484848485,30.85249137065309,6486.573077679353,0.0015068111539306,3945,2005,3598,1.7945137157107232,0.0,0,266,0.0011373645638249,1322956.0,645.3443902439025,5394.82469456113,1164052.0,159385.0,567.8302439024391,29733103.287908666,28,0.0109503324208056,716333,2259.725552050473,10445.56938437513,651513,2055.2460567823346,12628.356752498652,1361672,97262.28571428572,363292.70401647815,1054408,75314.85714285714,104195.55530595574,3.5
02d3c9fc,498.0,38823.0,499,649,0.2727647301194891,0.169218578257202,3064,562.0,136,29803,0.0375068946497517,1460.0,5.159010600706714,2934,76,38.60526315789474,8549.592105263158,46.46118923642784,9943.030364602308,0.002048080757417,49850,3063,24413,7.970290564805746,0.0,0,833,0.0026725100419645,1769365.0,487.9660783232212,4412.2675575491485,1459750.0,232260.0,402.57859900717045,19400216.14402739,39,0.0152522487289792,364059,919.3409090909092,2559.8680733531774,801219,2023.280303030303,5622.736891551217,29596,1233.1666666666667,2153.2759201750705,840739,35030.791666666664,35182.75610478268,4.0
02e86b6a,868.0,63387.0,870,1163,0.3231814749559527,0.2835444826969409,5213,224.0,146,50010,0.0268530439580651,2373.0,4.842857142857143,4846,95,51.01052631578948,9923.768421052631,55.37214422526026,11063.695164387056,0.0029643676142974,32557,5212,18854,3.617421335379893,0.0,0,1259,0.0030687407681845,1832881.0,337.1125620746735,1604.6132527141483,1425019.0,52198.0,262.0965606032739,2566104.1262519653,46,0.0179898318341806,602705,953.647151898734,2253.882145362033,941117,1489.10917721519,6176.713357001364,159477,4690.5,12871.70615294953,1212756,35669.294117647056,31554.490216448823,4.0
031c0c58,297.0,24036.0,307,348,0.1508452535760728,0.0997640637228623,2652,61.0,73,17993,0.0269074824917066,1579.0,4.685459940652819,2619,56,46.767857142857146,9632.44642857143,58.41045705613416,12056.249279439566,0.0015689100210151,15128,2651,14554,5.490003772161448,0.0,0,659,0.0020695936184913,1703877.0,628.0416513085146,4677.316083576503,1436115.0,127435.0,529.3457427202359,22049771.91212881,39,0.0152522487289792,707854,1778.5276381909548,13120.998119091244,777389,1953.2386934673368,10935.24819166949,231633,12191.21052631579,33307.90764064385,742416,39074.52631578947,50360.28189883199,4.0
034d61db,31.0,2684.0,31,31,0.0089131684876365,0.0085681513522477,3529,36.0,3,1851,0.0008415147265077,2820.0,5.01779359430605,3509,47,74.65957446808511,18612.17021276596,89.85986108712606,21831.09916701317,0.0019808394758804,4857,3528,33910,9.611678004535149,0.0,0,16,4.763549320598778e-05,1797309.0,504.1539971949509,4168.376099389778,1466087.0,197605.0,411.2446002805049,17339606.042847518,26,0.0101681658193195,527961,931.1481481481482,2862.0362651424243,753017,1328.0723104056435,9482.719836725597,47843,1993.4583333333333,6523.328024860281,1035966,43165.25,56676.98961065317,4.5
035f09fc,285.0,24813.0,285,524,0.190753549326538,0.1359781604542293,3237,100.0,65,18347,0.019478573569074,1792.0,4.654545454545454,3040,104,29.23076923076923,6994.788461538462,33.21019575845888,8030.652409958628,0.0018488569166474,21234,3236,11513,3.55778739184178,0.0,0,568,0.0017237611983782,1794893.0,537.8762361402457,3450.414098105752,1485255.0,114209.0,445.0869044051543,11905878.17709766,42,0.0164254986312084,559818,1201.3261802575107,3143.8319167974373,808355,1734.6673819742489,7945.121748519952,67685,2333.9655172413795,9687.630867255266,996790,34372.06896551724,43309.40416182399,3.5
036cfd42,1123.0,64596.0,1123,1690,0.3219047619047619,0.2732673395403287,6712,474.0,307,47078,0.0427219593654327,2847.0,4.441497659906396,6374,57,111.82456140350877,15579.017543859649,117.33911824996468,14224.976861004565,0.0040141932398885,19864,6711,16579,2.47042169572344,0.0,0,2495,0.0056417202385124,1771965.0,246.5857222376844,2377.280671579961,1366016.0,159398.0,190.09407180629,5684976.791427637,38,0.0148611654282362,2548965,2633.228305785124,56687.65664060788,652300,673.8636363636364,2513.316982063103,24759,476.13461538461536,2798.968612765936,1131802,21765.42307692308,33680.80859919975,4.5
0395b217,511.0,35976.0,511,517,0.1600619195046439,0.152172953244345,3754,161.0,101,25784,0.0257982120051085,2174.0,4.615711252653928,3742,78,47.97435897435897,9396.576923076924,47.57003704968522,9725.340058848313,0.0023443492798985,1204,3753,9284,2.473754329869438,0.0,0,438,0.0013036335063574,1635299.0,417.70089399744575,4946.23163086086,1368588.0,233448.0,349.57547892720305,24756304.82331272,28,0.0109503324208056,528833,921.3118466898954,1928.218310313693,792936,1381.4216027874563,13238.027045571716,272376,12380.727272727272,49764.07740355326,912741,41488.22727272727,40149.721308327455,5.5
03971ddf,159.0,14436.0,165,177,0.09005186232909,0.0441403153605986,5117,824.0,30,9535,0.0050496549402457,1593.0,4.871559633027523,2286,52,43.96153846153846,11254.21153846154,47.082723003559,12112.08486665773,0.0032940498071863,254160,5116,113188,22.124315871774822,0.0,0,730,0.0016852428134782,1802071.0,303.32789092745327,2177.8411503844445,1371694.0,126282.0,230.8860461201818,4718676.3228708925,28,0.0109503324208056,439086,1236.861971830986,3705.16533938984,1000719,2818.9267605633804,14064.292013739196,57775,2751.190476190476,6331.04048809552,1253594,59694.95238095238,55789.53966961566,4.5
040c429b,1289.0,65897.0,1289,1431,0.330179972311952,0.2448723959848456,5638,125.0,295,47003,0.0511886170397362,2262.0,4.267924528301887,5623,85,66.15294117647059,13248.717647058824,74.38613956311782,14960.610752439032,0.003290867457358,6432,5637,8029,1.4243391875110876,0.0,0,1833,0.0036297460959932,1714201.0,297.4494187055353,2185.776462617829,1283128.0,156236.0,222.64931459309383,5008415.666134116,24,0.0093859992178333,516566,616.4272076372315,1076.396709935285,897730,1071.276849642005,6090.392292137486,48209,1236.128205128205,3406.7634214084624,1081323,27726.23076923077,32714.294416694767,5.0
0417d421,359.0,30392.0,359,359,0.1884514435695538,0.1381327074395429,2274,43.0,76,21120,0.0328010358221838,1236.0,4.560885608856089,2264,43,52.65116279069768,8547.255813953489,42.9916291525124,7104.896370321041,0.0031699081725349,15,2273,5684,2.500659920809503,0.0,0,508,0.0024437763078773,684175.0,295.28485110056107,1346.4237519029343,569709.0,46648.0,245.8821752265861,2726724.269790082,19,0.0074305827141181,1004611,2928.8950437317785,39258.66628977553,269406,785.4402332361516,2217.9479165658454,470,26.11111111111111,32.29075425655951,424381,23576.722222222223,15445.634787121058,3.0
0432f117,272.0,22458.0,291,443,0.1875225387666786,0.1441305601135305,3161,61.0,52,20306,0.0161390440720049,1970.0,5.025510204081633,3067,113,27.141592920353983,6191.796460176991,30.770715222384613,6971.993096309504,0.0018050450504958,22571,3160,13502,4.272784810126582,0.0,0,1012,0.0032983400745059,1781042.0,552.7752948479206,2558.469405695524,1482047.0,67315.0,459.9773432650528,6528315.824696077,46,0.0179898318341806,2438441,5579.95652173913,81641.71301511004,1147090,2624.9199084668194,9278.20375690143,179164,7789.739130434783,15720.86535097223,1129369,49103.0,39477.42772429927,4.0
0445b534,50.0,3123.0,61,102,0.071780436312456,0.096590909090909,1541,156.0,4,1252,0.0023571007660577,1076.0,5.02803738317757,1483,72,20.59722222222222,4052.9861111111113,12.624210723868083,3211.750321330247,0.0008644200235741,5427,1540,1864,1.2103896103896103,0.0,0,79,0.0004322845417236,1885186.0,1110.8933411903358,12909.670422762469,1858336.0,401409.0,1095.0713022981734,170175815.114606,36,0.01407899882675,188614,812.9913793103449,6254.015765746161,1720923,7417.771551724138,39518.74634399812,1966725,131115.0,506687.8094211464,1775603,118373.53333333334,140063.39311176547,3.5
